ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601988.SH,2026-04-07,5.82,5.84,5.75,5.8,5.82,-0.02,-0.3436,2509963.5,1454371.237
601988.SH,2026-04-08,5.77,5.78,5.63,5.74,5.8,-0.06,-1.0345,3149179.43,1799283.321
601988.SH,2026-04-09,5.74,5.77,5.67,5.69,5.74,-0.05,-0.8711,2235350.39,1275037.216
601988.SH,2026-04-10,5.68,5.68,5.62,5.65,5.69,-0.04,-0.703,1776263.58,1002071.045
601988.SH,2026-04-13,5.65,5.69,5.58,5.69,5.65,0.04,0.708,2002528.06,1128552.342
601988.SH,2026-04-14,5.66,5.74,5.65,5.73,5.69,0.04,0.703,1880664.5,1072107.399
601988.SH,2026-04-15,5.71,5.82,5.7,5.79,5.73,0.06,1.0471,2310032.34,1335510.071
601988.SH,2026-04-16,5.8,5.87,5.76,5.79,5.79,0.0,0.0,1890438.03,1096909.201
601988.SH,2026-04-17,5.77,5.82,5.75,5.77,5.79,-0.02,-0.3454,1531680.13,884406.388
601988.SH,2026-04-20,5.75,5.92,5.74,5.9,5.77,0.13,2.253,2580279.73,1512553.844
601988.SH,2026-04-21,5.89,5.97,5.89,5.93,5.9,0.03,0.5085,2053820.68,1218008.177
601988.SH,2026-04-22,5.93,5.95,5.83,5.84,5.93,-0.09,-1.5177,1616782.44,948819.566
601988.SH,2026-04-23,5.83,5.88,5.8,5.82,5.84,-0.02,-0.3425,1588391.86,927613.368
601988.SH,2026-04-24,5.82,5.84,5.78,5.81,5.82,-0.01,-0.1718,1484477.75,861051.72
601988.SH,2026-04-27,5.8,5.84,5.75,5.76,5.81,-0.05,-0.8606,1668171.56,964842.08
601988.SH,2026-04-28,5.74,5.82,5.73,5.81,5.76,0.05,0.8681,1647560.96,952210.043
601988.SH,2026-04-29,5.81,5.83,5.73,5.79,5.81,-0.02,-0.3442,2180086.16,1259549.786
601988.SH,2026-04-30,5.8,5.85,5.73,5.75,5.79,-0.04,-0.6908,2528233.33,1461444.306
601988.SH,2026-05-06,5.75,5.75,5.64,5.71,5.75,-0.04,-0.6957,2679508.74,1519897.392
601988.SH,2026-05-07,5.71,5.76,5.68,5.69,5.71,-0.02,-0.3503,1748485.21,999142.783
601988.SH,2026-05-08,5.7,5.75,5.66,5.68,5.69,-0.01,-0.1757,1646660.03,936717.491
601988.SH,2026-05-11,5.67,5.69,5.61,5.68,5.68,0.0,0.0,2292314.91,1294937.056
601988.SH,2026-05-12,5.68,5.78,5.67,5.74,5.68,0.06,1.0563,2497039.01,1433926.085
601988.SH,2026-05-13,5.75,5.77,5.69,5.72,5.74,-0.02,-0.3484,1733847.11,993628.097
601988.SH,2026-05-14,5.71,5.83,5.7,5.76,5.72,0.04,0.6993,2734276.45,1580479.09
601988.SH,2026-05-15,5.76,5.81,5.69,5.79,5.76,0.03,0.5208,2699421.95,1556875.661
601988.SH,2026-05-18,5.79,5.82,5.76,5.79,5.79,0.0,0.0,1940883.88,1124118.524
601988.SH,2026-05-19,5.8,5.9,5.79,5.83,5.79,0.04,0.6908,2718887.25,1593352.605
601988.SH,2026-05-20,5.83,5.84,5.7,5.7,5.83,-0.13,-2.2298,2070373.18,1191220.935
601988.SH,2026-05-21,5.71,5.84,5.66,5.8,5.7,0.1,1.7544,3260367.58,1883361.764
601988.SH,2026-05-22,5.79,5.88,5.71,5.86,5.8,0.06,1.0345,3106328.3,1807610.864
601988.SH,2026-05-25,5.84,5.94,5.83,5.9,5.86,0.04,0.6826,2466683.51,1455806.546
601988.SH,2026-05-26,5.88,5.98,5.87,5.91,5.9,0.01,0.1695,2925462.29,1737459.864
601988.SH,2026-05-27,5.9,5.98,5.81,5.85,5.91,-0.06,-1.0152,2569335.66,1514655.987
